"","regiao","estado","municipio","coduf","codmun","codRegiaoSaude","nomeRegiaoSaude","data","semanaEpi","populacaoTCU2019","casosAcumulado","casosNovos","obitosAcumulado","obitosNovos","Recuperadosnovos","emAcompanhamentoNovos","interior/metropolitana"
"2586","Sudeste","MG","Frei Lagonegro",31,NA,NA,NA,2021-05-11,19,3478,121,2,3,0,NA,NA,FALSE
"2587","Sudeste","MG","Fronteira",31,NA,NA,NA,2021-05-11,19,18103,1255,3,42,1,NA,NA,FALSE
"2588","Sudeste","MG","Fronteira dos Vales",31,NA,NA,NA,2021-05-11,19,4581,262,0,10,0,NA,NA,FALSE
"2589","Sudeste","MG","Fruta de Leite",31,NA,NA,NA,2021-05-11,19,5369,79,0,2,0,NA,NA,FALSE
"2590","Sudeste","MG","Frutal",31,NA,NA,NA,2021-05-11,19,59496,5334,14,161,0,NA,NA,FALSE
"2591","Sudeste","MG","Funilândia",31,NA,NA,NA,2021-05-11,19,4349,99,0,3,0,NA,NA,FALSE
"2592","Sudeste","MG","Galiléia",31,NA,NA,NA,2021-05-11,19,6817,396,0,15,0,NA,NA,FALSE
"2593","Sudeste","MG","Gameleiras",31,NA,NA,NA,2021-05-11,19,5109,264,0,4,0,NA,NA,FALSE
"2594","Sudeste","MG","Glaucilândia",31,NA,NA,NA,2021-05-11,19,3150,103,0,5,1,NA,NA,FALSE
"2595","Sudeste","MG","Goiabeira",31,NA,NA,NA,2021-05-11,19,3353,177,0,6,0,NA,NA,FALSE
"2596","Sudeste","MG","Goianá",31,NA,NA,NA,2021-05-11,19,3966,249,0,5,0,NA,NA,FALSE
"2597","Sudeste","MG","Gonçalves",31,NA,NA,NA,2021-05-11,19,4350,198,0,5,0,NA,NA,FALSE
"2598","Sudeste","MG","Gonzaga",31,NA,NA,NA,2021-05-11,19,6158,316,0,10,0,NA,NA,FALSE
"2599","Sudeste","MG","Gouveia",31,NA,NA,NA,2021-05-11,19,11825,490,3,21,0,NA,NA,FALSE
"2600","Sudeste","MG","Governador Valadares",31,NA,NA,NA,2021-05-11,19,279885,24950,78,981,0,NA,NA,FALSE
"2601","Sudeste","MG","Grão Mogol",31,NA,NA,NA,2021-05-11,19,15836,505,5,6,0,NA,NA,FALSE
"2602","Sudeste","MG","Grupiara",31,NA,NA,NA,2021-05-11,19,1388,57,1,1,0,NA,NA,FALSE
"2603","Sudeste","MG","Guanhães",31,NA,NA,NA,2021-05-11,19,34319,2207,0,28,0,NA,NA,FALSE
"2604","Sudeste","MG","Guapé",31,NA,NA,NA,2021-05-11,19,14245,590,9,18,0,NA,NA,FALSE
"2605","Sudeste","MG","Guaraciaba",31,NA,NA,NA,2021-05-11,19,10324,496,1,26,0,NA,NA,FALSE
"2606","Sudeste","MG","Guaraciama",31,NA,NA,NA,2021-05-11,19,4972,156,0,3,0,NA,NA,FALSE
"2607","Sudeste","MG","Guaranésia",31,NA,NA,NA,2021-05-11,19,19021,1125,14,18,0,NA,NA,FALSE
"2608","Sudeste","MG","Guarani",31,NA,NA,NA,2021-05-11,19,8911,637,3,3,0,NA,NA,FALSE
"2609","Sudeste","MG","Guarará",31,NA,NA,NA,2021-05-11,19,3796,382,0,8,0,NA,NA,FALSE
"2610","Sudeste","MG","Guarda-Mor",31,NA,NA,NA,2021-05-11,19,6580,375,3,8,0,NA,NA,FALSE
"2611","Sudeste","MG","Guaxupé",31,NA,NA,NA,2021-05-11,19,51917,3344,14,68,0,NA,NA,FALSE
"2612","Sudeste","MG","Guidoval",31,NA,NA,NA,2021-05-11,19,7078,476,0,16,0,NA,NA,FALSE
